Dataset,Model,eps_0.0,eps_0.01,eps_0.05,eps_0.1,eps_0.2,eps_0.3,eps_0.5
CSE-CIC-IDS-2018,ASRRL (Ours),0.9973474801061009,0.3685845047401112,0.3535496003761166,0.3510630013238844,0.34944986827832014,0.3458080381157304,0.33939669546763684
CSE-CIC-IDS-2018,Random Forest,0.9980092899800929,0.9158536585365854,0.5353619398549864,0.45270134565173725,0.4091611378714897,0.39294446384910936,0.3725294801527985
CSE-CIC-IDS-2018,XGBoost,0.9960194604157452,0.7856270713413571,0.7697052775873886,0.7279507133592737,0.6919870310328856,0.6636094674556213,0.6098127647943146
CSE-CIC-IDS-2018,LightGBM,0.9986725663716814,0.4107793153678077,0.39526730937773885,0.3886925795053004,0.3808960270498732,0.3741999833762779,0.3628726068341546
CSE-CIC-IDS-2018,SVM,0.9836798569192935,0.9836871508379887,0.984375,0.9828316610925305,0.9784683684794674,0.9538929969551979,0.8740442655935614
CSE-CIC-IDS-2018,KNN,0.9761368752814048,0.9763673193787981,0.975236380009005,0.9736308316430021,0.9736901281762987,0.968392737054472,0.9301518438177875
CSE-CIC-IDS-2018,Naive Bayes,0.9885209713024282,0.9882976374475603,0.9865490628445425,0.929045643153527,0.6182119662843719,0.4718294998944925,0.36522591715009395
CSE-CIC-IDS-2018,MLP,0.9953426480372588,0.9940199335548173,0.9826792370094277,0.9307053941908714,0.8134423251589464,0.7215332581736189,0.6011326860841424
UNSW-NB15,ASRRL (Ours),0.9998906027786895,0.47055189456342666,0.4677823839500486,0.4674235450547203,0.46728016359918195,0.46715403098001124,0.4671846248211
UNSW-NB15,Random Forest,0.9995622674545853,0.7687647256815887,0.5451942008233399,0.5041377027474346,0.4845464666277899,0.47837922730604127,0.4733433500854877
UNSW-NB15,XGBoost,0.9986865148861646,0.8714176538020635,0.8616780045351474,0.7943917094835845,0.6925644916540212,0.6436846566826788,0.5965050068721776
UNSW-NB15,LightGBM,1.0,0.5046935394809497,0.5017016137885608,0.4955272431553267,0.48423841059602646,0.47792887029288705,0.4732563558225029
UNSW-NB15,SVM,0.9936291739894552,0.9939580358123695,0.994067237969677,0.9936305732484075,0.9899056396752249,0.9792323583777319,0.9098302327945512
UNSW-NB15,KNN,0.991405905685324,0.9912947658402204,0.9911836014987876,0.9904089957005843,0.9889770723104057,0.9852552816901409,0.9586705514190137
UNSW-NB15,Naive Bayes,0.9996717365138418,0.588811549368394,0.4870223311837126,0.4771552399352515,0.4720099153067548,0.47026137065239765,0.4688253707599939
UNSW-NB15,MLP,0.9971566054243219,0.9971566054243219,0.9888395275761187,0.9409339243376972,0.8179944439465902,0.7343523732904265,0.6397751229796206
CIC-IDS2017,ASRRL (Ours),0.998009289980093,0.3461693432337536,0.33638904415874793,0.3353393513874958,0.33477970627503334,0.3345009730330831,0.3344262295081967
CIC-IDS2017,Random Forest,0.9988374024248463,0.8989536621823617,0.5436963398102124,0.454861636171178,0.41123795201312463,0.39542376224603853,0.38021755628636483
CIC-IDS2017,XGBoost,0.9968359700249791,0.6369629944704381,0.6356589147286822,0.6160502729988668,0.5682706050500238,0.5391147244805782,0.5040472175379427
CIC-IDS2017,LightGBM,0.9986710963455149,0.487121334845294,0.422517394054396,0.4152401987852016,0.4086986068637445,0.40457296570275714,0.395313631277562
CIC-IDS2017,SVM,0.9908042133422504,0.9908042133422504,0.9902977584476412,0.989628638340582,0.9789421323163655,0.9348792884371029,0.81750804083345
CIC-IDS2017,KNN,0.9826511706248947,0.9823143001515917,0.9826511706248947,0.9821368385574654,0.9790611279972983,0.9744709439032584,0.9362953283240771
CIC-IDS2017,Naive Bayes,0.9968443780102973,0.9970119521912351,0.8575917726039137,0.57589714066398,0.4327249116225381,0.3930916732335172,0.36523223211020356
CIC-IDS2017,MLP,0.9965029142381349,0.9963357761492339,0.9841897233201581,0.9250309789343247,0.7750389206019719,0.6764172335600906,0.5690264641253463
