Dataset,Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,FPR_mean,FPR_std,FNR_mean,FNR_std
CSE-CIC-IDS-2018,ASRRL (Ours),0.9988933333333334,0.00027519689920732954,0.9954732822547335,0.001165878404078609,0.9971705581478965,0.0020850574649577316,0.996319103618157,0.0008733941851133307,0.0007999217749430134,0.0002068715657356545,0.0028294418521034757,0.0020850574649577316
CSE-CIC-IDS-2018,Random Forest,0.9993733333333333,0.00020698899595015234,0.9970631401801748,0.0009585063935915787,0.998754088855387,0.0006221303362431378,0.9979077359979461,0.0007013726608396773,0.0005173901858962816,0.0001645016271997734,0.0012459111446129513,0.0006221303362431562
CSE-CIC-IDS-2018,XGBoost,0.9984866666666667,0.0006139489663916316,0.995304537020084,0.0017888632763619179,0.9945405015740956,0.002860836785387919,0.99492114593255,0.0021158070203476194,0.0008227815946738875,0.0003071337729421733,0.0054594984259043215,0.0028608367853879043
CSE-CIC-IDS-2018,LightGBM,0.9994266666666667,0.00014666666666668986,0.9973316385195906,0.0007790666296662808,0.9988449632012648,0.0005674692670206281,0.9980875061045349,0.0004942930307524292,0.00047041168623087725,0.0001354621179974391,0.0011550367987351643,0.0005674692670206413
CSE-CIC-IDS-2018,SVM,0.9956066666666669,0.00036690901082179724,0.9926437591373863,0.0014831652563979038,0.9779400277402248,0.002330377478905342,0.9852345746367657,0.0011941731266473855,0.0012783054451833923,0.00026293632459996097,0.022059972259775205,0.00233037747890533
CSE-CIC-IDS-2018,KNN,0.99314,0.0007644605941446652,0.9930500696651456,0.001918935720932728,0.9609451504716875,0.00546723513570361,0.9767235289841596,0.002711017454471074,0.0011837190958167974,0.00032542013993014883,0.03905484952831257,0.005467235135703606
CSE-CIC-IDS-2018,Naive Bayes,0.9969800000000001,0.0005978108210611276,0.9868361680106013,0.0026970530054873268,0.9931070130867077,0.002113451008653828,0.9899596442741521,0.0019724197283623557,0.0023370850988092004,0.0004892437261733952,0.0068929869132922,0.0021134510086538217
CSE-CIC-IDS-2018,MLP,0.9982933333333334,0.00033092463055977385,0.9958065186909261,0.0013136234540393388,0.9927898668715198,0.0018618568711299484,0.9942945529158219,0.001122229343233428,0.0007371337690436798,0.00023335097815055513,0.007210133128480243,0.0018618568711299488
UNSW-NB15,ASRRL (Ours),0.9999266666666667,5.5377492419447735e-05,0.9998438413466081,0.0001747377854174052,0.9999110679350235,0.00017788104987075037,0.9998774310186074,9.27572811644786e-05,6.65500110903494e-05,7.416146261323714e-05,8.893206497645332e-05,0.00017788104987074774
UNSW-NB15,Random Forest,0.9998400000000001,7.99999999999912e-05,0.9998438068751494,0.0001747638606427475,0.9996245660132997,0.00029586023118406457,0.9997341328107607,0.0001320909083427015,6.65500110903494e-05,7.416146261323714e-05,0.00037543398670031644,0.00029586023118406105
UNSW-NB15,XGBoost,0.9995,0.0003200694369108904,0.9992648728576308,0.0005032330898175286,0.9990672669589749,0.0007586579671832889,0.9991659354982083,0.0005384940249844994,0.00031399746394799764,0.00021211966562094335,0.0009327330410250839,0.0007586579671832814
UNSW-NB15,LightGBM,0.9999199999999998,4.988876515698039e-05,0.9998657134251141,0.00017917058496931532,0.999866491507832,0.00014838215843800714,0.9998660824551369,8.399367750083036e-05,5.6962283381816325e-05,7.59268039552576e-05,0.0001335084921678753,0.00014838215843801376
UNSW-NB15,SVM,0.99652,0.00035752233807445784,0.9975656755260862,0.0005123919556164905,0.9908417932270506,0.0012622807207973326,0.9941918219165664,0.0006287145823303575,0.0010389113534219254,0.00021332381861736854,0.009158206772949328,0.0012622807207973404
UNSW-NB15,KNN,0.9945933333333332,0.0004178782385123929,0.9981097576595598,0.0007834618918042798,0.9838791723865926,0.0012897812198701248,0.9909427854155742,0.0007510443826844408,0.0008005960639985129,0.00033005903172429805,0.016120827613407336,0.001289781219870126
UNSW-NB15,Naive Bayes,0.9998466666666668,7.916228058024407e-05,0.9998214455504577,0.00019510674209814114,0.999669973884842,0.00026402408581622833,0.9997456672878906,0.00013119054613566026,7.604668725369224e-05,8.277278305905534e-05,0.00033002611515792256,0.0002640240858162158
UNSW-NB15,MLP,0.9985133333333334,0.00029821692328460867,0.998109885183976,0.0012613393282246384,0.99694434897316,0.0006902243982599821,0.9975259934874916,0.000502465705374304,0.0008093954205759098,0.0005355667611446687,0.0030556510268400796,0.0006902243982599843
CIC-IDS2017,ASRRL (Ours),0.9994,0.00021499353995465596,0.9974109030078202,0.0010752868758646685,0.9996020825727914,0.0006607797492615147,0.9985047777007772,0.0005344399443430252,0.0006502640062179684,0.0002709848988074527,0.0003979174272085117,0.0006607797492615086
CIC-IDS2017,Random Forest,0.9995466666666667,0.00019275776393070434,0.9982688221590331,0.0009216172324328053,0.9994684493130978,0.0003389830578568083,0.998868026068138,0.0004832442497805483,0.0004333048707185977,0.000228700421283816,0.0005315506869023357,0.0003389830578568154
CIC-IDS2017,XGBoost,0.9990933333333333,0.00037853518844206555,0.9981280498494669,0.0010753898671451542,0.9973407247215847,0.0015896961700027027,0.9977333037679316,0.0009579342233940899,0.0004663849550444737,0.0002594202558097231,0.0026592752784153247,0.0015896961700027012
CIC-IDS2017,LightGBM,0.9995866666666666,0.00016275407487648238,0.9986335492697229,0.0008024230415069897,0.9993037143211294,0.00034297726318134575,0.9989683050576119,0.00040870358774317385,0.0003415972503878042,0.00019823025998660243,0.0006962856788705049,0.00034297726318135736
